"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"JN Gillespie","V Sehwag",0.1,0,TRUE,1,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",0.1,0,FALSE,1,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",0.2,0,FALSE,1,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",0.3,0,FALSE,1,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",0.4,1,FALSE,2,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","SR Tendulkar",0.5,0,TRUE,3,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",0.6,1,FALSE,4,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","V Sehwag",1.1,1,FALSE,5,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","SR Tendulkar",1.2,1,FALSE,6,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","V Sehwag",1.3,0,FALSE,6,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","V Sehwag",1.4,1,FALSE,7,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","SR Tendulkar",1.5,0,FALSE,7,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","SR Tendulkar",1.6,4,FALSE,11,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",2.1,0,FALSE,11,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",2.2,4,FALSE,15,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",2.3,4,FALSE,19,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",2.4,0,FALSE,19,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",2.5,0,FALSE,19,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",2.6,0,FALSE,19,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","SR Tendulkar",3.1,0,TRUE,20,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","SR Tendulkar",3.1,0,FALSE,20,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","SR Tendulkar",3.2,0,FALSE,20,1,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","VVS Laxman",3.3,1,FALSE,21,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","V Sehwag",3.4,1,FALSE,22,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","VVS Laxman",3.5,0,FALSE,22,0,"India",1,"bat","Australia","5  wickets","Australia"
"B Lee","VVS Laxman",3.6,0,FALSE,22,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",4.1,4,FALSE,26,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",4.2,4,FALSE,30,0,"India",1,"bat","Australia","5  wickets","Australia"
"JN Gillespie","V Sehwag",4.3,0,FALSE,30,0,"India",1,"bat","Australia","5  wickets","Australia"
