"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"RP Singh","AC Gilchrist",0.1,0,FALSE,0,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","AC Gilchrist",0.2,4,FALSE,4,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","AC Gilchrist",0.3,4,FALSE,8,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","AC Gilchrist",0.4,4,FALSE,12,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","AC Gilchrist",0.5,0,FALSE,12,1,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",0.6,0,FALSE,12,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",1.1,0,FALSE,12,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",1.2,0,FALSE,12,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",1.3,0,FALSE,12,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",1.4,0,FALSE,12,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",1.5,0,TRUE,13,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",1.5,0,FALSE,13,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",1.6,0,FALSE,13,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",2.1,4,FALSE,17,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",2.2,0,FALSE,17,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",2.3,0,FALSE,17,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",2.4,0,FALSE,17,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",2.5,4,FALSE,21,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",2.6,4,FALSE,25,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",3.1,0,FALSE,25,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",3.2,4,FALSE,29,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",3.3,0,FALSE,29,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",3.4,0,FALSE,29,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",3.5,6,FALSE,35,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","ML Hayden",3.6,0,FALSE,35,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",4.1,0,FALSE,35,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",4.2,0,FALSE,35,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","RT Ponting",4.3,1,FALSE,36,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","ML Hayden",4.4,0,FALSE,36,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","ML Hayden",4.5,6,FALSE,42,0,"Australia",1,"bat","India","7  wickets","India"
"RP Singh","ML Hayden",4.6,0,FALSE,42,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",5.1,4,FALSE,46,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",5.2,4,FALSE,50,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",5.3,0,FALSE,50,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",5.4,4,FALSE,54,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",5.5,0,FALSE,54,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",5.6,4,FALSE,58,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","ML Hayden",6.1,0,FALSE,58,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","ML Hayden",6.2,1,FALSE,59,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","RT Ponting",6.3,0,FALSE,59,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","RT Ponting",6.4,1,FALSE,60,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","ML Hayden",6.5,0,FALSE,60,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","ML Hayden",6.6,0,FALSE,60,2,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",7.1,1,FALSE,61,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",7.2,1,FALSE,62,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",7.3,1,FALSE,63,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",7.4,1,FALSE,64,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",7.5,4,FALSE,68,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",7.6,1,FALSE,69,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","RT Ponting",8.1,1,FALSE,70,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","A Symonds",8.2,0,FALSE,70,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","A Symonds",8.3,1,FALSE,71,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","RT Ponting",8.4,1,FALSE,72,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","A Symonds",8.5,1,FALSE,73,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","RT Ponting",8.6,1,FALSE,74,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",9.1,1,FALSE,75,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",9.2,1,FALSE,76,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",9.3,1,FALSE,77,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",9.4,0,FALSE,77,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",9.5,2,FALSE,79,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",9.6,2,FALSE,81,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",10.1,1,FALSE,82,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","A Symonds",10.2,1,FALSE,83,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",10.3,1,FALSE,84,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","A Symonds",10.4,1,FALSE,85,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",10.5,1,FALSE,86,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","A Symonds",10.6,1,FALSE,87,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",11.1,0,TRUE,88,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",11.2,0,TRUE,89,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",11.3,4,FALSE,93,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",11.4,2,FALSE,95,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","A Symonds",11.5,1,FALSE,96,0,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",11.6,0,FALSE,96,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","A Symonds",12.1,0,FALSE,96,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","A Symonds",12.2,1,FALSE,97,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","RT Ponting",12.3,4,FALSE,101,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","RT Ponting",12.4,4,FALSE,105,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","RT Ponting",12.5,4,FALSE,109,0,"Australia",1,"bat","India","7  wickets","India"
"S Sreesanth","RT Ponting",12.6,1,FALSE,110,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","RT Ponting",13.1,0,FALSE,110,3,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","RT Ponting",13.2,1,FALSE,111,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","BJ Hodge",13.3,1,FALSE,112,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","RT Ponting",13.4,1,FALSE,113,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","BJ Hodge",13.5,0,FALSE,113,0,"Australia",1,"bat","India","7  wickets","India"
"Harbhajan Singh","BJ Hodge",13.6,0,FALSE,113,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",14.1,1,FALSE,114,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","BJ Hodge",14.2,0,FALSE,114,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","BJ Hodge",14.3,1,FALSE,115,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",14.4,0,FALSE,115,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","RT Ponting",14.5,1,FALSE,116,0,"Australia",1,"bat","India","7  wickets","India"
"IK Pathan","BJ Hodge",14.6,0,FALSE,116,4,"Australia",1,"bat","India","7  wickets","India"
"M Kartik","RT Ponting",15.1,1,FALSE,117,0,"Australia",1,"bat","India","7  wickets","India"
