"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"B Kumar","DA Warner",0.1,4,FALSE,4,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"B Kumar","DA Warner",0.2,0,FALSE,4,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"B Kumar","DA Warner",0.3,1,FALSE,5,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"B Kumar","MT Renshaw",0.4,0,FALSE,5,0,"Australia",1,"bat","India","8  wickets","India","right","Spin"
"B Kumar","MT Renshaw",0.5,1,FALSE,6,0,"Australia",1,"bat","India","8  wickets","India","right","Spin"
"B Kumar","DA Warner",0.6,4,FALSE,10,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"UT Yadav","MT Renshaw",1.1,0,FALSE,10,0,"Australia",1,"bat","India","8  wickets","India","right","Spin"
"UT Yadav","MT Renshaw",1.2,0,FALSE,10,0,"Australia",1,"bat","India","8  wickets","India","right","Spin"
"UT Yadav","MT Renshaw",1.3,0,FALSE,10,0,"Australia",1,"bat","India","8  wickets","India","right","Spin"
"UT Yadav","MT Renshaw",1.4,0,FALSE,10,1,"Australia",1,"bat","India","8  wickets","India","right","Spin"
"UT Yadav","SPD Smith",1.5,0,FALSE,10,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"UT Yadav","SPD Smith",1.6,0,FALSE,10,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"B Kumar","DA Warner",2.1,0,FALSE,10,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"B Kumar","DA Warner",2.2,0,FALSE,10,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"B Kumar","DA Warner",2.3,1,FALSE,11,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"B Kumar","SPD Smith",2.4,0,FALSE,11,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"B Kumar","SPD Smith",2.5,0,FALSE,11,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"B Kumar","SPD Smith",2.6,0,FALSE,11,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"UT Yadav","DA Warner",3.1,0,FALSE,11,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"UT Yadav","DA Warner",3.2,0,FALSE,11,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"UT Yadav","DA Warner",3.3,1,FALSE,12,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"UT Yadav","SPD Smith",3.4,0,FALSE,12,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"UT Yadav","SPD Smith",3.5,1,FALSE,13,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"UT Yadav","DA Warner",3.6,4,FALSE,17,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"B Kumar","SPD Smith",4.1,0,FALSE,17,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"B Kumar","SPD Smith",4.2,0,FALSE,17,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"B Kumar","SPD Smith",4.3,2,FALSE,19,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"B Kumar","SPD Smith",4.4,2,FALSE,21,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"B Kumar","SPD Smith",4.5,0,FALSE,21,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"B Kumar","SPD Smith",4.6,0,FALSE,21,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
"UT Yadav","DA Warner",5.1,0,FALSE,21,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"UT Yadav","DA Warner",5.2,1,FALSE,22,0,"Australia",1,"bat","India","8  wickets","India","Left","Spin"
"UT Yadav","SPD Smith",5.3,2,FALSE,24,0,"Australia",1,"bat","India","8  wickets","India","Right","Spin"
