"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"JJ Bumrah","DA Warner",0.1,0,TRUE,1,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","DA Warner",0.1,1,FALSE,2,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","AJ Finch",0.2,0,FALSE,2,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","AJ Finch",0.3,0,FALSE,2,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","AJ Finch",0.4,0,FALSE,2,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","AJ Finch",0.5,0,FALSE,2,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","AJ Finch",0.6,1,FALSE,3,0,"Australia",1,"bat","India","7  wickets","India"
"Mohammed Shami","AJ Finch",1.1,0,TRUE,4,0,"Australia",1,"bat","India","7  wickets","India"
"Mohammed Shami","AJ Finch",1.1,4,FALSE,8,0,"Australia",1,"bat","India","7  wickets","India"
"Mohammed Shami","AJ Finch",1.2,1,FALSE,9,0,"Australia",1,"bat","India","7  wickets","India"
"Mohammed Shami","DA Warner",1.3,0,FALSE,9,0,"Australia",1,"bat","India","7  wickets","India"
"Mohammed Shami","DA Warner",1.4,0,FALSE,9,0,"Australia",1,"bat","India","7  wickets","India"
"Mohammed Shami","DA Warner",1.5,1,FALSE,10,0,"Australia",1,"bat","India","7  wickets","India"
"Mohammed Shami","AJ Finch",1.6,0,FALSE,10,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","DA Warner",2.1,0,TRUE,11,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","DA Warner",2.1,0,TRUE,12,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","DA Warner",2.1,1,FALSE,13,0,"Australia",1,"bat","India","7  wickets","India"
"JJ Bumrah","AJ Finch",2.2,0,TRUE,18,0,"Australia",1,"bat","India","7  wickets","India"
