"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"Z Khan","PA Jaques",0.1,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",0.2,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",0.3,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",0.4,0,TRUE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",0.4,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",0.5,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",0.6,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",1.1,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",1.2,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",1.3,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",1.4,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",1.5,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",1.6,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",2.1,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",2.2,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",2.3,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",2.4,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",2.5,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","PA Jaques",2.6,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",3.1,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",3.2,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",3.3,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",3.4,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",3.5,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"RP Singh","ML Hayden",3.6,1,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","ML Hayden",4.1,0,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","ML Hayden",4.2,0,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","ML Hayden",4.3,1,FALSE,3,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
