"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"MA Starc","RG Sharma",0.1,4,FALSE,4,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RG Sharma",0.2,0,FALSE,4,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RG Sharma",0.3,0,FALSE,4,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RG Sharma",0.4,0,FALSE,4,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RG Sharma",0.5,4,FALSE,8,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RG Sharma",0.6,0,FALSE,8,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",1.1,0,FALSE,8,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",1.2,1,FALSE,9,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","RG Sharma",1.3,0,FALSE,9,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","RG Sharma",1.4,0,FALSE,9,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","RG Sharma",1.5,0,TRUE,10,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","RG Sharma",1.5,1,FALSE,11,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",1.6,0,FALSE,11,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RG Sharma",2.1,0,FALSE,11,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RG Sharma",2.2,1,FALSE,12,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","S Dhawan",2.3,0,FALSE,12,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","S Dhawan",2.4,0,FALSE,12,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","S Dhawan",2.5,0,TRUE,13,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RG Sharma",2.6,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",3.1,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",3.2,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",3.3,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",3.4,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",3.5,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",3.6,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RG Sharma",4.1,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RG Sharma",4.2,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RG Sharma",4.3,0,FALSE,13,1,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","KL Rahul",4.4,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","KL Rahul",4.5,0,FALSE,13,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","KL Rahul",4.6,4,FALSE,17,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",5.1,1,FALSE,18,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","KL Rahul",5.2,1,FALSE,19,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",5.3,0,FALSE,19,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",5.4,0,FALSE,19,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",5.5,0,FALSE,19,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",5.6,0,FALSE,19,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","KL Rahul",6.1,1,FALSE,20,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","S Dhawan",6.2,0,FALSE,20,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",6.3,0,FALSE,20,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",6.4,1,FALSE,21,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","KL Rahul",6.5,0,FALSE,21,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",6.6,0,FALSE,21,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","S Dhawan",7.1,0,FALSE,21,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","S Dhawan",7.2,0,FALSE,21,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","S Dhawan",7.3,4,FALSE,25,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","S Dhawan",7.4,4,FALSE,29,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","S Dhawan",7.5,1,FALSE,30,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","KL Rahul",7.6,0,FALSE,30,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","S Dhawan",8.1,4,FALSE,34,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",8.2,0,FALSE,34,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",8.3,0,FALSE,34,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",8.4,4,FALSE,38,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",8.5,0,FALSE,38,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",8.6,0,FALSE,38,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","KL Rahul",9.1,0,FALSE,38,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","KL Rahul",9.2,1,FALSE,39,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",9.3,4,FALSE,43,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",9.4,0,FALSE,43,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",9.5,1,FALSE,44,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","KL Rahul",9.6,1,FALSE,45,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",10.1,0,FALSE,45,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",10.2,0,FALSE,45,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",10.3,1,FALSE,46,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","S Dhawan",10.4,0,FALSE,46,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",10.5,1,FALSE,47,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","KL Rahul",10.6,0,FALSE,47,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",11.1,0,FALSE,47,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",11.2,0,FALSE,47,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",11.3,0,FALSE,47,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",11.4,0,FALSE,47,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",11.5,4,FALSE,51,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","S Dhawan",11.6,4,FALSE,55,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"A Zampa","KL Rahul",12.1,1,FALSE,56,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",12.2,1,FALSE,57,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",12.3,1,FALSE,58,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",12.4,1,FALSE,59,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",12.5,0,FALSE,59,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",12.6,0,FALSE,59,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"KW Richardson","S Dhawan",13.1,0,TRUE,60,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",13.1,1,FALSE,61,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","KL Rahul",13.2,4,FALSE,65,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",13.3,0,FALSE,65,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",13.4,0,FALSE,65,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",13.5,0,FALSE,65,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",13.6,1,FALSE,66,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"A Zampa","KL Rahul",14.1,4,FALSE,70,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",14.2,0,TRUE,71,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",14.2,1,FALSE,72,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",14.3,0,FALSE,72,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",14.4,0,FALSE,72,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",14.5,0,FALSE,72,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",14.6,0,FALSE,72,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"KW Richardson","KL Rahul",15.1,1,FALSE,73,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","S Dhawan",15.2,1,FALSE,74,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","KL Rahul",15.3,0,FALSE,74,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",15.4,4,FALSE,78,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","KL Rahul",15.5,1,FALSE,79,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","S Dhawan",15.6,1,FALSE,80,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"AC Agar","S Dhawan",16.1,0,FALSE,80,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",16.2,0,FALSE,80,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",16.3,0,FALSE,80,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",16.4,4,FALSE,84,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",16.5,2,FALSE,86,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",16.6,0,FALSE,86,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",17.1,2,FALSE,88,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",17.2,0,FALSE,88,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",17.3,1,FALSE,89,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",17.4,0,FALSE,89,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",17.5,0,FALSE,89,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",17.6,1,FALSE,90,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",18.1,0,FALSE,90,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",18.2,2,FALSE,92,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",18.3,0,FALSE,92,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",18.4,0,FALSE,92,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",18.5,1,FALSE,93,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","KL Rahul",18.6,0,FALSE,93,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",19.1,1,FALSE,94,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",19.2,1,FALSE,95,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",19.3,0,FALSE,95,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",19.4,4,FALSE,99,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",19.5,1,FALSE,100,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",19.6,0,FALSE,100,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","S Dhawan",20.1,0,FALSE,100,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",20.2,1,FALSE,101,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","KL Rahul",20.3,1,FALSE,102,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","S Dhawan",20.4,1,FALSE,103,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","KL Rahul",20.5,1,FALSE,104,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","S Dhawan",20.6,1,FALSE,105,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",21.1,1,FALSE,106,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",21.2,1,FALSE,107,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",21.3,0,FALSE,107,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",21.4,0,FALSE,107,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","S Dhawan",21.5,1,FALSE,108,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",21.6,1,FALSE,109,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","KL Rahul",22.1,0,FALSE,109,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","KL Rahul",22.2,0,FALSE,109,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","KL Rahul",22.3,1,FALSE,110,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","S Dhawan",22.4,1,FALSE,111,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","KL Rahul",22.5,0,FALSE,111,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","KL Rahul",22.6,0,FALSE,111,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",23.1,1,FALSE,112,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",23.2,1,FALSE,113,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",23.3,1,FALSE,114,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",23.4,0,FALSE,114,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",23.5,2,FALSE,116,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",23.6,1,FALSE,117,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","KL Rahul",24.1,0,FALSE,117,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","KL Rahul",24.2,1,FALSE,118,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","S Dhawan",24.3,6,FALSE,124,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",24.4,1,FALSE,125,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","KL Rahul",24.5,1,FALSE,126,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","S Dhawan",24.6,0,FALSE,126,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",25.1,1,FALSE,127,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","S Dhawan",25.2,1,FALSE,128,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","KL Rahul",25.3,0,FALSE,128,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",25.4,0,FALSE,128,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",25.5,0,FALSE,128,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","KL Rahul",25.6,1,FALSE,129,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"KW Richardson","KL Rahul",26.1,1,FALSE,130,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","S Dhawan",26.2,1,FALSE,131,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","KL Rahul",26.3,1,FALSE,132,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"KW Richardson","S Dhawan",26.4,0,FALSE,132,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","S Dhawan",26.5,1,FALSE,133,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"KW Richardson","KL Rahul",26.6,1,FALSE,134,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"AC Agar","KL Rahul",27.1,0,FALSE,134,2,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","V Kohli",27.2,1,FALSE,135,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","S Dhawan",27.3,0,FALSE,135,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","S Dhawan",27.4,0,TRUE,136,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","V Kohli",27.5,0,FALSE,136,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"AC Agar","V Kohli",27.6,1,FALSE,137,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"PJ Cummins","V Kohli",28.1,1,FALSE,138,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",28.2,1,FALSE,139,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","V Kohli",28.3,0,FALSE,139,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","V Kohli",28.4,1,FALSE,140,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","S Dhawan",28.5,0,FALSE,140,3,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"PJ Cummins","V Kohli",28.6,1,FALSE,141,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"A Zampa","V Kohli",29.1,2,FALSE,143,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","V Kohli",29.2,0,FALSE,143,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","V Kohli",29.3,1,FALSE,144,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","SS Iyer",29.4,1,FALSE,145,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","V Kohli",29.5,1,FALSE,146,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","SS Iyer",29.6,1,FALSE,147,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"PJ Cummins","SS Iyer",30.1,0,TRUE,148,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","SS Iyer",30.1,0,FALSE,148,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","SS Iyer",30.2,0,FALSE,148,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","SS Iyer",30.3,0,FALSE,148,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","SS Iyer",30.4,1,FALSE,149,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","V Kohli",30.5,1,FALSE,150,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"PJ Cummins","SS Iyer",30.6,0,FALSE,150,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"A Zampa","V Kohli",31.1,6,FALSE,156,0,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","V Kohli",31.2,0,FALSE,156,4,"India",1,"field","Australia","10  wickets","Australia","Right","Spin"
"A Zampa","RR Pant",31.3,4,FALSE,160,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","RR Pant",31.4,0,FALSE,160,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","RR Pant",31.5,0,FALSE,160,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","RR Pant",31.6,1,FALSE,161,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"MA Starc","RR Pant",32.1,0,FALSE,161,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RR Pant",32.2,1,FALSE,162,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","SS Iyer",32.3,1,FALSE,163,0,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RR Pant",32.4,1,FALSE,164,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","SS Iyer",32.5,0,FALSE,164,5,"India",1,"field","Australia","10  wickets","Australia","Right","Fast"
"MA Starc","RA Jadeja",32.6,0,FALSE,164,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"A Zampa","RR Pant",33.1,0,FALSE,164,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","RR Pant",33.2,0,FALSE,164,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","RR Pant",33.3,0,FALSE,164,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","RR Pant",33.4,1,FALSE,165,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","RA Jadeja",33.5,0,FALSE,165,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"A Zampa","RA Jadeja",33.6,1,FALSE,166,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"MA Starc","RA Jadeja",34.1,0,FALSE,166,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RA Jadeja",34.2,0,FALSE,166,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RA Jadeja",34.3,0,FALSE,166,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RA Jadeja",34.4,1,FALSE,167,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RR Pant",34.5,0,TRUE,168,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RR Pant",34.5,1,FALSE,169,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"MA Starc","RA Jadeja",34.6,0,FALSE,169,0,"India",1,"field","Australia","10  wickets","Australia","Left","Fast"
"AC Agar","RR Pant",35.1,0,TRUE,170,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
"AC Agar","RR Pant",35.1,0,FALSE,170,0,"India",1,"field","Australia","10  wickets","Australia","Left","Spin"
