"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"MG Johnson","M Vijay",0.1,0,FALSE,0,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",0.2,0,FALSE,0,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",0.3,0,FALSE,0,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",0.4,0,FALSE,0,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",0.5,1,FALSE,1,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","S Dhawan",0.6,0,FALSE,1,0,"India",1,"bat","Australia","4  wickets","Australia"
"JR Hazlewood","M Vijay",1.1,0,FALSE,1,0,"India",1,"bat","Australia","4  wickets","Australia"
"JR Hazlewood","M Vijay",1.2,0,FALSE,1,0,"India",1,"bat","Australia","4  wickets","Australia"
"JR Hazlewood","M Vijay",1.3,0,FALSE,1,0,"India",1,"bat","Australia","4  wickets","Australia"
"JR Hazlewood","M Vijay",1.4,0,FALSE,1,0,"India",1,"bat","Australia","4  wickets","Australia"
"JR Hazlewood","M Vijay",1.5,0,FALSE,1,0,"India",1,"bat","Australia","4  wickets","Australia"
"JR Hazlewood","M Vijay",1.6,1,FALSE,2,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",2.1,0,FALSE,2,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",2.2,4,FALSE,6,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",2.3,0,FALSE,6,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",2.4,0,FALSE,6,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","M Vijay",2.5,1,FALSE,7,0,"India",1,"bat","Australia","4  wickets","Australia"
"MG Johnson","S Dhawan",2.6,1,FALSE,8,0,"India",1,"bat","Australia","4  wickets","Australia"
"JR Hazlewood","S Dhawan",3.1,0,FALSE,8,0,"India",1,"bat","Australia","4  wickets","Australia"
"JR Hazlewood","S Dhawan",3.2,0,FALSE,8,0,"India",1,"bat","Australia","4  wickets","Australia"
