"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"Mohammed Shami","UT Khawaja",0.1,0,FALSE,0,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","UT Khawaja",0.2,0,FALSE,0,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","UT Khawaja",0.3,0,FALSE,0,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","UT Khawaja",0.4,0,FALSE,0,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","UT Khawaja",0.5,0,FALSE,0,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","UT Khawaja",0.6,0,FALSE,0,0,"Australia",1,"bat","India","6  wickets","India"
"JJ Bumrah","AJ Finch",1.1,0,FALSE,0,0,"Australia",1,"bat","India","6  wickets","India"
"JJ Bumrah","AJ Finch",1.2,0,FALSE,0,0,"Australia",1,"bat","India","6  wickets","India"
"JJ Bumrah","AJ Finch",1.3,0,FALSE,0,1,"Australia",1,"bat","India","6  wickets","India"
"JJ Bumrah","MP Stoinis",1.4,3,FALSE,3,0,"Australia",1,"bat","India","6  wickets","India"
"JJ Bumrah","UT Khawaja",1.5,0,FALSE,3,0,"Australia",1,"bat","India","6  wickets","India"
"JJ Bumrah","UT Khawaja",1.6,0,FALSE,3,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","MP Stoinis",2.1,0,FALSE,3,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","MP Stoinis",2.2,0,FALSE,3,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","MP Stoinis",2.3,0,TRUE,4,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","MP Stoinis",2.3,0,FALSE,4,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","MP Stoinis",2.4,0,FALSE,4,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","MP Stoinis",2.5,4,FALSE,8,0,"Australia",1,"bat","India","6  wickets","India"
"Mohammed Shami","MP Stoinis",2.6,0,FALSE,8,0,"Australia",1,"bat","India","6  wickets","India"
"JJ Bumrah","UT Khawaja",3.1,0,FALSE,8,0,"Australia",1,"bat","India","6  wickets","India"
