"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"P Kumar","SR Watson",0.1,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SR Watson",0.2,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SR Watson",0.3,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SR Watson",0.4,2,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SR Watson",0.5,1,FALSE,3,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SE Marsh",0.6,0,FALSE,3,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SR Watson",1.1,4,FALSE,7,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SR Watson",1.2,1,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SE Marsh",1.3,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SE Marsh",1.4,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SE Marsh",1.5,1,FALSE,9,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SR Watson",1.6,0,FALSE,9,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SE Marsh",2.1,0,FALSE,9,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SE Marsh",2.2,0,FALSE,9,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SE Marsh",2.3,0,FALSE,9,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SE Marsh",2.4,1,FALSE,10,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SR Watson",2.5,0,FALSE,10,0,"Australia",1,"bat","Australia","  runs","Australia"
"P Kumar","SR Watson",2.6,0,FALSE,10,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SE Marsh",3.1,0,FALSE,10,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SE Marsh",3.2,1,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SR Watson",3.3,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SR Watson",3.4,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"A Nehra","SR Watson",3.5,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
