"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"Z Khan","EJM Cowan",0.1,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","EJM Cowan",0.2,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","EJM Cowan",0.3,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","EJM Cowan",0.4,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","EJM Cowan",0.5,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","EJM Cowan",0.6,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",1.1,0,TRUE,1,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",1.2,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",1.3,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",1.4,1,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",1.5,4,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",1.6,1,FALSE,7,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",2.1,0,FALSE,7,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",2.2,0,FALSE,7,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",2.3,0,FALSE,7,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",2.4,4,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",2.5,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",2.6,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",3.1,1,FALSE,12,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",3.2,0,FALSE,12,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",3.3,3,FALSE,15,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",3.4,0,FALSE,15,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",3.5,0,FALSE,15,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",3.6,0,FALSE,15,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",4.1,2,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",4.2,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",4.3,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",4.4,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",4.5,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",4.6,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",5.1,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",5.2,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",5.3,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",5.4,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",5.5,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",5.6,0,FALSE,17,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",6.1,4,FALSE,21,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",6.2,0,FALSE,21,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",6.3,2,FALSE,23,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",6.4,0,FALSE,23,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",6.5,2,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",6.6,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",7.1,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",7.2,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",7.3,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",7.4,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",7.5,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",7.6,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",8.1,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",8.2,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",8.3,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",8.4,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",8.5,0,FALSE,25,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",8.6,0,TRUE,26,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",9.1,0,FALSE,26,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",9.2,2,FALSE,28,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",9.3,0,FALSE,28,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",9.4,1,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",9.5,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",9.6,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",10.1,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",10.2,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",10.3,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",10.4,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",10.5,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","DA Warner",10.6,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",11.1,4,FALSE,33,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",11.2,1,FALSE,34,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",11.3,4,FALSE,38,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",11.4,0,FALSE,38,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",11.5,6,FALSE,44,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",11.6,1,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",12.1,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",12.2,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",12.3,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",12.4,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",12.5,1,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",12.6,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","DA Warner",13.1,0,FALSE,46,1,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","SE Marsh",13.2,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","SE Marsh",13.3,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","SE Marsh",13.4,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","SE Marsh",13.5,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","SE Marsh",13.6,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",14.1,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",14.2,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",14.3,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",14.4,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",14.5,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",14.6,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","SE Marsh",15.1,0,FALSE,46,2,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","RT Ponting",15.2,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","RT Ponting",15.3,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","RT Ponting",15.4,2,FALSE,48,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","RT Ponting",15.5,0,FALSE,48,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","RT Ponting",15.6,1,FALSE,49,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","RT Ponting",16.1,0,FALSE,49,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","RT Ponting",16.2,0,FALSE,49,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","RT Ponting",16.3,2,FALSE,51,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","RT Ponting",16.4,1,FALSE,52,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",16.5,0,FALSE,52,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",16.6,0,FALSE,52,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","RT Ponting",17.1,0,FALSE,52,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","RT Ponting",17.2,3,FALSE,55,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",17.3,0,FALSE,55,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",17.4,0,FALSE,55,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",17.5,0,FALSE,55,0,"Australia",1,"bat","Australia","  runs","Australia"
"UT Yadav","EJM Cowan",17.6,0,FALSE,55,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","RT Ponting",18.1,1,FALSE,56,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",18.2,0,FALSE,56,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",18.3,4,FALSE,60,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",18.4,0,FALSE,60,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",18.5,0,FALSE,60,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","EJM Cowan",18.6,0,FALSE,60,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",19.1,0,FALSE,60,0,"Australia",1,"bat","Australia","  runs","Australia"
