"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"Z Khan","DA Warner",0.1,2,FALSE,2,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","DA Warner",0.2,0,FALSE,2,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","DA Warner",0.3,1,FALSE,3,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","RT Ponting",0.4,0,FALSE,3,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"Z Khan","RT Ponting",0.5,0,FALSE,3,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"Z Khan","RT Ponting",0.6,1,FALSE,4,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"R Vinay Kumar","RT Ponting",1.1,0,FALSE,4,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"R Vinay Kumar","RT Ponting",1.2,0,TRUE,5,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"R Vinay Kumar","DA Warner",1.3,3,FALSE,8,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","RT Ponting",1.4,0,FALSE,8,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"R Vinay Kumar","RT Ponting",1.5,0,FALSE,8,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"R Vinay Kumar","RT Ponting",1.6,4,FALSE,12,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"Z Khan","DA Warner",2.1,1,FALSE,13,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","RT Ponting",2.2,0,FALSE,13,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"Z Khan","RT Ponting",2.3,0,FALSE,13,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"Z Khan","RT Ponting",2.4,0,FALSE,13,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"Z Khan","RT Ponting",2.5,0,FALSE,13,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"Z Khan","RT Ponting",2.6,1,FALSE,14,0,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"R Vinay Kumar","RT Ponting",3.1,0,FALSE,14,1,"Australia",1,"bat","India","4  wickets","India","Right","Fast"
"R Vinay Kumar","MJ Clarke",3.2,0,FALSE,14,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",3.3,0,FALSE,14,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",3.4,1,FALSE,15,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",3.5,0,TRUE,16,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",3.5,0,TRUE,17,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",3.5,0,FALSE,17,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",3.6,0,FALSE,17,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",4.1,0,FALSE,17,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",4.2,0,FALSE,17,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",4.3,4,FALSE,21,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",4.4,4,FALSE,25,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",4.5,2,FALSE,27,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",4.6,0,FALSE,27,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",5.1,1,FALSE,28,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",5.2,0,FALSE,28,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",5.3,2,FALSE,30,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",5.4,4,FALSE,34,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",5.5,4,FALSE,38,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",5.6,0,FALSE,38,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","DA Warner",6.1,0,FALSE,38,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","DA Warner",6.2,0,FALSE,38,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","DA Warner",6.3,1,FALSE,39,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",6.4,0,FALSE,39,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",6.5,0,FALSE,39,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",6.6,4,FALSE,43,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",7.1,0,FALSE,43,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",7.2,4,FALSE,47,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",7.3,0,FALSE,47,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",7.4,4,FALSE,51,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",7.5,0,FALSE,51,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",7.6,0,FALSE,51,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",8.1,0,FALSE,51,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",8.2,0,FALSE,51,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","MJ Clarke",8.3,1,FALSE,52,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","DA Warner",8.4,0,FALSE,52,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","DA Warner",8.5,0,FALSE,52,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"Z Khan","DA Warner",8.6,1,FALSE,53,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",9.1,0,FALSE,53,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",9.2,0,FALSE,53,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","DA Warner",9.3,0,FALSE,53,2,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",9.4,0,FALSE,53,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",9.5,0,FALSE,53,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"R Vinay Kumar","MJ Clarke",9.6,0,FALSE,53,0,"Australia",1,"bat","India","4  wickets","India","Left","Fast"
"RA Jadeja","PJ Forrest",10.1,1,FALSE,54,0,"Australia",1,"bat","India","4  wickets","India","Right","Spin"
"RA Jadeja","MJ Clarke",10.2,1,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
"RA Jadeja","PJ Forrest",10.3,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Right","Spin"
"RA Jadeja","PJ Forrest",10.4,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Right","Spin"
"RA Jadeja","PJ Forrest",10.5,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Right","Spin"
"RA Jadeja","PJ Forrest",10.6,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Right","Spin"
"UT Yadav","MJ Clarke",11.1,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
"UT Yadav","MJ Clarke",11.2,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
"UT Yadav","MJ Clarke",11.3,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
"UT Yadav","MJ Clarke",11.4,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
"UT Yadav","MJ Clarke",11.5,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
"UT Yadav","MJ Clarke",11.6,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
"RA Jadeja","PJ Forrest",12.1,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Right","Spin"
"RA Jadeja","PJ Forrest",12.2,0,FALSE,55,0,"Australia",1,"bat","India","4  wickets","India","Right","Spin"
"RA Jadeja","PJ Forrest",12.3,1,FALSE,56,0,"Australia",1,"bat","India","4  wickets","India","Right","Spin"
"RA Jadeja","MJ Clarke",12.4,2,FALSE,58,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
"RA Jadeja","MJ Clarke",12.5,0,FALSE,58,0,"Australia",1,"bat","India","4  wickets","India","Left","Spin"
