"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"AM Hardie","YBK Jaiswal",0.1,0,FALSE,0,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","YBK Jaiswal",0.2,0,FALSE,0,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","YBK Jaiswal",0.3,0,FALSE,0,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","YBK Jaiswal",0.4,0,FALSE,0,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","YBK Jaiswal",0.5,0,FALSE,0,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","YBK Jaiswal",0.6,0,TRUE,1,0,"India",1,"field","India","  runs","India","right","fast"
"JP Behrendorff","YBK Jaiswal",1.1,4,FALSE,5,0,"India",1,"field","India","  runs","India","right","Fast"
"JP Behrendorff","YBK Jaiswal",1.2,0,FALSE,5,0,"India",1,"field","India","  runs","India","right","Fast"
"JP Behrendorff","YBK Jaiswal",1.3,2,FALSE,7,0,"India",1,"field","India","  runs","India","right","Fast"
"JP Behrendorff","YBK Jaiswal",1.4,0,FALSE,7,0,"India",1,"field","India","  runs","India","right","Fast"
"JP Behrendorff","YBK Jaiswal",1.5,0,TRUE,11,0,"India",1,"field","India","  runs","India","right","Fast"
"JP Behrendorff","YBK Jaiswal",1.5,1,FALSE,12,0,"India",1,"field","India","  runs","India","right","Fast"
"BJ Dwarshuis","YBK Jaiswal",2.1,0,FALSE,12,0,"India",1,"field","India","  runs","India","right","fast"
"BJ Dwarshuis","YBK Jaiswal",2.2,4,FALSE,16,0,"India",1,"field","India","  runs","India","right","fast"
"BJ Dwarshuis","YBK Jaiswal",2.3,0,FALSE,16,0,"India",1,"field","India","  runs","India","right","fast"
"BJ Dwarshuis","YBK Jaiswal",2.4,4,FALSE,20,0,"India",1,"field","India","  runs","India","right","fast"
"BJ Dwarshuis","YBK Jaiswal",2.5,4,FALSE,24,0,"India",1,"field","India","  runs","India","right","fast"
"BJ Dwarshuis","YBK Jaiswal",2.6,0,FALSE,24,0,"India",1,"field","India","  runs","India","right","fast"
"JP Behrendorff","RD Gaikwad",3.1,0,FALSE,24,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Behrendorff","RD Gaikwad",3.2,0,FALSE,24,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Behrendorff","RD Gaikwad",3.3,4,FALSE,28,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Behrendorff","RD Gaikwad",3.4,1,FALSE,29,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Behrendorff","YBK Jaiswal",3.5,0,FALSE,29,0,"India",1,"field","India","  runs","India","right","Fast"
"JP Behrendorff","YBK Jaiswal",3.6,0,FALSE,29,0,"India",1,"field","India","  runs","India","right","Fast"
"CJ Green","RD Gaikwad",4.1,0,FALSE,29,0,"India",1,"field","India","  runs","India","Right","fast"
"CJ Green","RD Gaikwad",4.2,1,FALSE,30,0,"India",1,"field","India","  runs","India","Right","fast"
"CJ Green","YBK Jaiswal",4.3,4,FALSE,34,0,"India",1,"field","India","  runs","India","right","fast"
"CJ Green","YBK Jaiswal",4.4,2,FALSE,36,0,"India",1,"field","India","  runs","India","right","fast"
"CJ Green","YBK Jaiswal",4.5,6,FALSE,42,0,"India",1,"field","India","  runs","India","right","fast"
"CJ Green","YBK Jaiswal",4.6,1,FALSE,43,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","YBK Jaiswal",5.1,4,FALSE,47,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","YBK Jaiswal",5.2,1,FALSE,48,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","RD Gaikwad",5.3,0,TRUE,49,0,"India",1,"field","India","  runs","India","Right","fast"
"AM Hardie","RD Gaikwad",5.3,0,FALSE,49,0,"India",1,"field","India","  runs","India","Right","fast"
"AM Hardie","RD Gaikwad",5.4,1,FALSE,50,0,"India",1,"field","India","  runs","India","Right","fast"
"AM Hardie","YBK Jaiswal",5.5,0,FALSE,50,0,"India",1,"field","India","  runs","India","right","fast"
"AM Hardie","YBK Jaiswal",5.6,0,FALSE,50,1,"India",1,"field","India","  runs","India","right","fast"
