"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"Z Khan","AC Gilchrist",0.1,0,TRUE,1,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.1,0,FALSE,1,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.2,2,TRUE,4,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.2,1,FALSE,5,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",0.3,0,FALSE,5,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",0.4,0,FALSE,5,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",0.5,0,TRUE,10,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",0.5,4,FALSE,14,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",0.6,0,TRUE,15,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",0.6,0,FALSE,15,0,"Australia",1,"field","Australia","  runs","Australia"
"J Srinath","AC Gilchrist",1.1,1,FALSE,16,0,"Australia",1,"field","Australia","  runs","Australia"
"J Srinath","ML Hayden",1.2,0,FALSE,16,0,"Australia",1,"field","Australia","  runs","Australia"
"J Srinath","ML Hayden",1.3,0,FALSE,16,0,"Australia",1,"field","Australia","  runs","Australia"
"J Srinath","ML Hayden",1.4,0,TRUE,17,0,"Australia",1,"field","Australia","  runs","Australia"
"J Srinath","ML Hayden",1.4,0,FALSE,17,0,"Australia",1,"field","Australia","  runs","Australia"
"J Srinath","ML Hayden",1.5,0,FALSE,17,0,"Australia",1,"field","Australia","  runs","Australia"
"J Srinath","ML Hayden",1.6,0,FALSE,17,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",2.1,4,FALSE,21,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",2.2,0,FALSE,21,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",2.3,0,TRUE,22,0,"Australia",1,"field","Australia","  runs","Australia"
