"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"Z Khan","AC Gilchrist",0.1,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.2,0,TRUE,1,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.2,1,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","MJ Clarke",0.3,0,FALSE,2,1,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",0.4,4,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",0.5,0,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",0.6,0,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",1.1,0,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",1.2,4,FALSE,10,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",1.3,0,FALSE,10,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",1.4,1,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","RT Ponting",1.5,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","RT Ponting",1.6,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",2.1,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",2.2,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",2.3,1,FALSE,12,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",2.4,1,FALSE,13,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",2.5,1,FALSE,14,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",2.6,6,FALSE,20,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",3.1,0,FALSE,20,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",3.2,4,FALSE,24,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",3.3,0,FALSE,24,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",3.4,4,FALSE,28,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",3.5,1,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","RT Ponting",3.6,0,FALSE,29,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",4.1,1,FALSE,30,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",4.2,0,FALSE,30,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",4.3,4,FALSE,34,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",4.4,0,FALSE,34,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",4.5,0,FALSE,34,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",4.6,0,FALSE,34,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",5.1,0,FALSE,34,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",5.2,4,FALSE,38,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",5.3,0,FALSE,38,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",5.4,4,FALSE,42,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",5.5,4,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"S Sreesanth","AC Gilchrist",5.6,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",6.1,0,FALSE,46,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",6.2,4,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",6.3,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",6.4,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",6.5,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",6.6,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","AC Gilchrist",7.1,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","AC Gilchrist",7.2,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","AC Gilchrist",7.3,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","AC Gilchrist",7.4,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","AC Gilchrist",7.5,3,FALSE,53,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","RT Ponting",7.6,1,FALSE,54,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",8.1,0,FALSE,54,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",8.2,0,FALSE,54,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",8.3,0,FALSE,54,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",8.4,1,FALSE,55,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",8.5,0,FALSE,55,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",8.6,0,FALSE,55,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","RT Ponting",9.1,4,FALSE,59,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","RT Ponting",9.2,0,FALSE,59,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","RT Ponting",9.3,0,FALSE,59,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","RT Ponting",9.4,2,FALSE,61,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","RT Ponting",9.5,4,FALSE,65,0,"Australia",1,"bat","Australia","  runs","Australia"
"IK Pathan","RT Ponting",9.6,0,FALSE,65,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",10.1,1,FALSE,66,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",10.2,0,FALSE,66,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",10.3,4,FALSE,70,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",10.4,4,FALSE,74,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","RT Ponting",10.5,1,FALSE,75,0,"Australia",1,"bat","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",10.6,1,FALSE,76,0,"Australia",1,"bat","Australia","  runs","Australia"
