"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"Z Khan","AC Gilchrist",0.1,0,FALSE,0,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.2,0,FALSE,0,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.3,0,FALSE,0,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.4,0,TRUE,2,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",0.4,1,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.5,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","AC Gilchrist",0.6,0,FALSE,3,1,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","ML Hayden",1.1,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","ML Hayden",1.2,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","ML Hayden",1.3,1,FALSE,4,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","BJ Hodge",1.4,0,FALSE,4,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","BJ Hodge",1.5,0,FALSE,4,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","BJ Hodge",1.6,1,FALSE,5,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","BJ Hodge",2.1,0,FALSE,5,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","BJ Hodge",2.2,0,FALSE,5,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","BJ Hodge",2.3,2,FALSE,7,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","BJ Hodge",2.4,0,FALSE,7,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","BJ Hodge",2.5,0,FALSE,7,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","BJ Hodge",2.6,0,TRUE,8,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","BJ Hodge",3.1,0,FALSE,8,2,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","MJ Clarke",3.2,0,FALSE,8,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","MJ Clarke",3.3,2,FALSE,10,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","MJ Clarke",3.4,1,FALSE,11,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","ML Hayden",3.5,1,FALSE,12,0,"Australia",1,"field","Australia","  runs","Australia"
"S Sreesanth","MJ Clarke",3.6,4,FALSE,16,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",4.1,0,FALSE,16,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",4.2,4,FALSE,20,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","ML Hayden",4.3,1,FALSE,21,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","MJ Clarke",4.4,0,FALSE,21,0,"Australia",1,"field","Australia","  runs","Australia"
"Z Khan","MJ Clarke",4.5,0,FALSE,21,0,"Australia",1,"field","Australia","  runs","Australia"
