"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"P Kumar","MS Wade",0.1,1,FALSE,1,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","DA Warner",0.2,0,TRUE,2,0,"Australia",1,"field","Australia","  runs","Australia","Left","Spin"
"P Kumar","DA Warner",0.2,1,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia","Left","Spin"
"P Kumar","MS Wade",0.3,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",0.4,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",0.5,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",0.6,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"R Vinay Kumar","DA Warner",1.1,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",1.2,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",1.3,0,FALSE,3,0,"Australia",1,"field","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",1.4,1,FALSE,4,0,"Australia",1,"field","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","MS Wade",1.5,0,FALSE,4,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","MS Wade",1.6,0,FALSE,4,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"P Kumar","DA Warner",2.1,3,FALSE,7,0,"Australia",1,"field","Australia","  runs","Australia","Left","Spin"
"P Kumar","MS Wade",2.2,1,FALSE,8,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","DA Warner",2.3,0,FALSE,8,0,"Australia",1,"field","Australia","  runs","Australia","Left","Spin"
"P Kumar","DA Warner",2.4,0,FALSE,8,0,"Australia",1,"field","Australia","  runs","Australia","Left","Spin"
"P Kumar","DA Warner",2.5,0,FALSE,8,0,"Australia",1,"field","Australia","  runs","Australia","Left","Spin"
"P Kumar","DA Warner",2.6,0,FALSE,8,0,"Australia",1,"field","Australia","  runs","Australia","Left","Spin"
"R Vinay Kumar","MS Wade",3.1,1,FALSE,9,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","DA Warner",3.2,0,FALSE,9,0,"Australia",1,"field","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",3.3,1,FALSE,10,0,"Australia",1,"field","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","MS Wade",3.4,0,FALSE,10,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","MS Wade",3.5,1,FALSE,11,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","DA Warner",3.6,0,FALSE,11,0,"Australia",1,"field","Australia","  runs","Australia","Left","Fast"
"P Kumar","MS Wade",4.1,0,FALSE,11,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",4.2,0,FALSE,11,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",4.3,4,FALSE,15,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",4.4,0,FALSE,15,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",4.5,0,FALSE,15,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",4.6,0,FALSE,15,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"R Vinay Kumar","DA Warner",5.1,0,FALSE,15,1,"Australia",1,"field","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","RT Ponting",5.2,0,FALSE,15,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","RT Ponting",5.3,0,FALSE,15,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","RT Ponting",5.4,0,FALSE,15,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","RT Ponting",5.5,1,FALSE,16,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","MS Wade",5.6,0,FALSE,16,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"P Kumar","RT Ponting",6.1,0,FALSE,16,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","RT Ponting",6.2,1,FALSE,17,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",6.3,0,FALSE,17,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","MS Wade",6.4,1,FALSE,18,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","RT Ponting",6.5,0,FALSE,18,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"P Kumar","RT Ponting",6.6,0,FALSE,18,0,"Australia",1,"field","Australia","  runs","Australia","Right","Spin"
"R Vinay Kumar","MS Wade",7.1,1,FALSE,19,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","RT Ponting",7.2,0,FALSE,19,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","RT Ponting",7.3,0,FALSE,19,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","RT Ponting",7.4,0,FALSE,19,0,"Australia",1,"field","Australia","  runs","Australia","Right","Fast"
