"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"PJ Cummins","AM Rahane",0.1,1,FALSE,1,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",0.2,0,FALSE,1,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",0.3,0,FALSE,1,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",0.4,0,FALSE,1,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",0.5,0,FALSE,1,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",0.6,2,FALSE,3,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",1.1,0,FALSE,3,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",1.2,0,FALSE,3,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",1.3,0,FALSE,3,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",1.4,0,FALSE,3,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",1.5,1,FALSE,4,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","RG Sharma",1.6,0,FALSE,4,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","AM Rahane",2.1,0,FALSE,4,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","AM Rahane",2.2,0,FALSE,4,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","AM Rahane",2.3,2,FALSE,6,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","AM Rahane",2.4,0,FALSE,6,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","AM Rahane",2.5,0,TRUE,7,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","AM Rahane",2.5,1,FALSE,8,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",2.6,2,FALSE,10,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",3.1,0,FALSE,10,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",3.2,0,TRUE,11,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",3.2,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","AM Rahane",3.3,0,FALSE,11,1,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","V Kohli",3.4,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","V Kohli",3.5,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","V Kohli",3.6,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",4.1,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",4.2,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",4.3,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",4.4,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",4.5,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",4.6,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","V Kohli",5.1,0,FALSE,11,2,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","MK Pandey",5.2,0,FALSE,11,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","MK Pandey",5.3,0,FALSE,11,3,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",5.4,0,TRUE,12,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",5.4,4,FALSE,16,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",5.5,0,FALSE,16,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",5.6,0,FALSE,16,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",6.1,1,FALSE,17,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","KM Jadhav",6.2,0,FALSE,17,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","KM Jadhav",6.3,4,FALSE,21,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","KM Jadhav",6.4,0,FALSE,21,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","KM Jadhav",6.5,1,FALSE,22,0,"India",1,"bat","India","  runs","India"
"PJ Cummins","RG Sharma",6.6,1,FALSE,23,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","RG Sharma",7.1,0,FALSE,23,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","RG Sharma",7.2,0,FALSE,23,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","RG Sharma",7.3,0,FALSE,23,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","RG Sharma",7.4,1,FALSE,24,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",7.5,0,FALSE,24,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",7.6,0,FALSE,24,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","RG Sharma",8.1,4,FALSE,28,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","RG Sharma",8.2,1,FALSE,29,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","KM Jadhav",8.3,0,FALSE,29,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","KM Jadhav",8.4,0,FALSE,29,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","KM Jadhav",8.5,1,FALSE,30,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","RG Sharma",8.6,0,FALSE,30,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",9.1,0,FALSE,30,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",9.2,0,FALSE,30,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",9.3,0,FALSE,30,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",9.4,0,FALSE,30,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",9.5,2,FALSE,32,0,"India",1,"bat","India","  runs","India"
"NM Coulter-Nile","KM Jadhav",9.6,2,FALSE,34,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","RG Sharma",10.1,0,FALSE,34,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","RG Sharma",10.2,1,FALSE,35,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","KM Jadhav",10.3,0,FALSE,35,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","KM Jadhav",10.4,0,FALSE,35,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","KM Jadhav",10.5,0,TRUE,36,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","KM Jadhav",10.5,1,FALSE,37,0,"India",1,"bat","India","  runs","India"
"JP Faulkner","RG Sharma",10.6,1,FALSE,38,0,"India",1,"bat","India","  runs","India"
"MP Stoinis","RG Sharma",11.1,1,FALSE,39,0,"India",1,"bat","India","  runs","India"
"MP Stoinis","KM Jadhav",11.2,0,FALSE,39,0,"India",1,"bat","India","  runs","India"
