"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"MA Starc","KL Rahul",0.1,0,FALSE,0,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","KL Rahul",0.2,2,FALSE,2,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","KL Rahul",0.3,0,FALSE,2,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","KL Rahul",0.4,0,FALSE,2,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","KL Rahul",0.5,0,FALSE,2,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","KL Rahul",0.6,2,FALSE,4,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","S Dhawan",1.1,0,FALSE,4,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","S Dhawan",1.2,1,FALSE,5,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","KL Rahul",1.3,0,TRUE,6,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","S Dhawan",1.4,0,FALSE,6,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","S Dhawan",1.5,0,FALSE,6,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","S Dhawan",1.6,0,FALSE,6,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","KL Rahul",2.1,0,FALSE,6,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","KL Rahul",2.2,0,FALSE,6,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","KL Rahul",2.3,4,FALSE,10,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","KL Rahul",2.4,1,FALSE,11,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","S Dhawan",2.5,0,FALSE,11,1,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","V Kohli",2.6,0,TRUE,12,0,"India",1,"field","India","  runs","India","Right","Fast"
"MA Starc","V Kohli",2.6,1,FALSE,13,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","V Kohli",3.1,1,FALSE,14,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","KL Rahul",3.2,1,FALSE,15,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","V Kohli",3.3,0,FALSE,15,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","V Kohli",3.4,4,FALSE,19,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","V Kohli",3.5,1,FALSE,20,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","KL Rahul",3.6,1,FALSE,21,0,"India",1,"field","India","  runs","India","Right","Fast"
"A Zampa","KL Rahul",4.1,4,FALSE,25,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","KL Rahul",4.2,0,FALSE,25,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","KL Rahul",4.3,2,FALSE,27,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","KL Rahul",4.4,2,FALSE,29,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","KL Rahul",4.5,1,FALSE,30,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","V Kohli",4.6,0,FALSE,30,0,"India",1,"field","India","  runs","India","Right","Spin"
"SA Abbott","KL Rahul",5.1,1,FALSE,31,0,"India",1,"field","India","  runs","India","Right","Fast"
"SA Abbott","V Kohli",5.2,1,FALSE,32,0,"India",1,"field","India","  runs","India","Right","Fast"
"SA Abbott","KL Rahul",5.3,4,FALSE,36,0,"India",1,"field","India","  runs","India","Right","Fast"
"SA Abbott","KL Rahul",5.4,6,FALSE,42,0,"India",1,"field","India","  runs","India","Right","Fast"
"SA Abbott","KL Rahul",5.5,0,FALSE,42,0,"India",1,"field","India","  runs","India","Right","Fast"
"SA Abbott","KL Rahul",5.6,0,FALSE,42,0,"India",1,"field","India","  runs","India","Right","Fast"
"MJ Swepson","V Kohli",6.1,1,FALSE,43,0,"India",1,"field","India","  runs","India","Right","fast"
"MJ Swepson","KL Rahul",6.2,4,FALSE,47,0,"India",1,"field","India","  runs","India","Right","fast"
"MJ Swepson","KL Rahul",6.3,1,FALSE,48,0,"India",1,"field","India","  runs","India","Right","fast"
"MJ Swepson","V Kohli",6.4,0,FALSE,48,2,"India",1,"field","India","  runs","India","Right","fast"
"MJ Swepson","SV Samson",6.5,1,FALSE,49,0,"India",1,"field","India","  runs","India","right","fast"
"MJ Swepson","KL Rahul",6.6,2,FALSE,51,0,"India",1,"field","India","  runs","India","Right","fast"
"A Zampa","SV Samson",7.1,1,FALSE,52,0,"India",1,"field","India","  runs","India","right","Spin"
"A Zampa","KL Rahul",7.2,1,FALSE,53,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","SV Samson",7.3,1,FALSE,54,0,"India",1,"field","India","  runs","India","right","Spin"
"A Zampa","KL Rahul",7.4,1,FALSE,55,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","SV Samson",7.5,1,FALSE,56,0,"India",1,"field","India","  runs","India","right","Spin"
"A Zampa","KL Rahul",7.6,0,FALSE,56,0,"India",1,"field","India","  runs","India","Right","Spin"
"MJ Swepson","SV Samson",8.1,6,FALSE,62,0,"India",1,"field","India","  runs","India","right","fast"
"MJ Swepson","SV Samson",8.2,0,FALSE,62,0,"India",1,"field","India","  runs","India","right","fast"
"MJ Swepson","SV Samson",8.3,1,FALSE,63,0,"India",1,"field","India","  runs","India","right","fast"
"MJ Swepson","KL Rahul",8.4,0,FALSE,63,0,"India",1,"field","India","  runs","India","Right","fast"
"MJ Swepson","KL Rahul",8.5,4,FALSE,67,0,"India",1,"field","India","  runs","India","Right","fast"
"MJ Swepson","KL Rahul",8.6,1,FALSE,68,0,"India",1,"field","India","  runs","India","Right","fast"
"MC Henriques","KL Rahul",9.1,1,FALSE,69,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","SV Samson",9.2,1,FALSE,70,0,"India",1,"field","India","  runs","India","right","Spin"
"MC Henriques","KL Rahul",9.3,1,FALSE,71,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","SV Samson",9.4,2,FALSE,73,0,"India",1,"field","India","  runs","India","right","Spin"
"MC Henriques","SV Samson",9.5,1,FALSE,74,0,"India",1,"field","India","  runs","India","right","Spin"
"MC Henriques","KL Rahul",9.6,1,FALSE,75,0,"India",1,"field","India","  runs","India","Right","Spin"
"SA Abbott","KL Rahul",10.1,1,FALSE,76,0,"India",1,"field","India","  runs","India","Right","Fast"
"SA Abbott","SV Samson",10.2,4,FALSE,80,0,"India",1,"field","India","  runs","India","right","Fast"
"SA Abbott","SV Samson",10.3,1,FALSE,81,0,"India",1,"field","India","  runs","India","right","Fast"
"SA Abbott","KL Rahul",10.4,1,FALSE,82,0,"India",1,"field","India","  runs","India","Right","Fast"
"SA Abbott","SV Samson",10.5,0,TRUE,83,0,"India",1,"field","India","  runs","India","right","Fast"
"SA Abbott","SV Samson",10.5,2,FALSE,85,0,"India",1,"field","India","  runs","India","right","Fast"
"SA Abbott","SV Samson",10.6,1,FALSE,86,0,"India",1,"field","India","  runs","India","right","Fast"
"MC Henriques","SV Samson",11.1,0,FALSE,86,3,"India",1,"field","India","  runs","India","right","Spin"
"MC Henriques","MK Pandey",11.2,0,FALSE,86,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","MK Pandey",11.3,0,FALSE,86,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","MK Pandey",11.4,0,FALSE,86,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","MK Pandey",11.5,2,FALSE,88,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","MK Pandey",11.6,0,TRUE,89,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","MK Pandey",11.6,0,FALSE,89,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","KL Rahul",12.1,1,FALSE,90,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","MK Pandey",12.2,0,FALSE,90,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","MK Pandey",12.3,0,FALSE,90,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","MK Pandey",12.4,0,FALSE,90,4,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","HH Pandya",12.5,1,FALSE,91,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","KL Rahul",12.6,0,FALSE,91,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","HH Pandya",13.1,0,FALSE,91,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","HH Pandya",13.2,0,FALSE,91,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","HH Pandya",13.3,0,FALSE,91,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","HH Pandya",13.4,0,TRUE,92,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","KL Rahul",13.5,0,FALSE,92,5,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","RA Jadeja",13.6,1,FALSE,93,0,"India",1,"field","India","  runs","India","Left","Spin"
"A Zampa","RA Jadeja",14.1,1,FALSE,94,0,"India",1,"field","India","  runs","India","Left","Spin"
"A Zampa","HH Pandya",14.2,1,FALSE,95,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","RA Jadeja",14.3,0,FALSE,95,0,"India",1,"field","India","  runs","India","Left","Spin"
"A Zampa","RA Jadeja",14.4,1,FALSE,96,0,"India",1,"field","India","  runs","India","Left","Spin"
"A Zampa","HH Pandya",14.5,1,FALSE,97,0,"India",1,"field","India","  runs","India","Right","Spin"
"A Zampa","RA Jadeja",14.6,0,FALSE,97,0,"India",1,"field","India","  runs","India","Left","Spin"
"JR Hazlewood","HH Pandya",15.1,2,FALSE,99,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","HH Pandya",15.2,0,FALSE,99,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","HH Pandya",15.3,1,FALSE,100,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","RA Jadeja",15.4,1,FALSE,101,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","HH Pandya",15.5,1,FALSE,102,0,"India",1,"field","India","  runs","India","Right","Fast"
"JR Hazlewood","RA Jadeja",15.6,2,FALSE,104,0,"India",1,"field","India","  runs","India","Left","Fast"
"MC Henriques","HH Pandya",16.1,6,FALSE,110,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","HH Pandya",16.2,1,FALSE,111,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","RA Jadeja",16.3,1,FALSE,112,0,"India",1,"field","India","  runs","India","Left","Spin"
"MC Henriques","HH Pandya",16.4,2,FALSE,114,0,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","HH Pandya",16.5,0,FALSE,114,6,"India",1,"field","India","  runs","India","Right","Spin"
"MC Henriques","RA Jadeja",16.6,1,FALSE,115,0,"India",1,"field","India","  runs","India","Left","Spin"
"MA Starc","RA Jadeja",17.1,1,FALSE,116,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","Washington Sundar",17.2,0,TRUE,118,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","RA Jadeja",17.2,2,FALSE,120,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","RA Jadeja",17.3,1,FALSE,121,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","Washington Sundar",17.4,4,FALSE,125,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","Washington Sundar",17.5,2,FALSE,127,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","Washington Sundar",17.6,0,FALSE,127,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","RA Jadeja",18.1,4,FALSE,131,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","RA Jadeja",18.2,0,FALSE,131,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","RA Jadeja",18.3,2,TRUE,134,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","RA Jadeja",18.3,2,FALSE,136,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","RA Jadeja",18.4,6,FALSE,142,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","RA Jadeja",18.5,4,FALSE,146,0,"India",1,"field","India","  runs","India","Left","Fast"
"JR Hazlewood","RA Jadeja",18.6,4,FALSE,150,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","Washington Sundar",19.1,1,FALSE,151,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","RA Jadeja",19.2,1,FALSE,152,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","Washington Sundar",19.3,0,FALSE,152,7,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","RA Jadeja",19.4,4,FALSE,156,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","RA Jadeja",19.5,4,FALSE,160,0,"India",1,"field","India","  runs","India","Left","Fast"
"MA Starc","RA Jadeja",19.6,1,FALSE,161,0,"India",1,"field","India","  runs","India","Left","Fast"
"DL Chahar","DJM Short",0.1,1,FALSE,1,0,"Australia",2,"field","India","  runs","India","right","fast"
"DL Chahar","AJ Finch",0.2,4,FALSE,5,0,"Australia",2,"field","India","  runs","India","Right","fast"
