"innings","over","runs_in_over","wickets_in_over","run_rate","score","required_run_rate","runs_in_previous_3_overs"
1,0,7,0,1.16666666666667,7,0,NA
1,1,5,0,0.833333333333333,13,0,NA
1,2,12,1,2,25,0,24
1,3,10,0,1.66666666666667,35,0,27
1,4,9,0,1.5,44,0,31
1,5,4,0,0.666666666666667,48,0,23
1,6,9,0,1.5,61,0,22
1,7,9,0,1.5,71,0,22
1,8,11,0,1.83333333333333,84,0,29
1,9,8,0,1.33333333333333,92,0,28
1,10,4,0,0.666666666666667,96,0,23
1,11,4,0,0.666666666666667,100,0,16
1,12,2,0,0.333333333333333,102,0,10
1,13,4,0,0.666666666666667,106,0,10
1,14,1,0,0.166666666666667,107,0,7
1,15,3,0,0.5,110,0,8
1,16,4,0,0.666666666666667,114,0,8
1,17,4,0,0.666666666666667,118,0,11
1,18,6,0,1,124,0,14
1,19,6,0,1,130,0,16
1,20,2,2,0.333333333333333,132,0,14
1,21,6,0,1,138,0,14
1,22,6,0,1,144,0,14
1,23,6,0,1,150,0,18
1,24,10,0,1.66666666666667,160,0,22
1,25,4,0,0.666666666666667,164,0,20
1,26,3,0,0.5,167,0,17
1,27,5,0,0.833333333333333,172,0,12
1,28,5,0,0.833333333333333,177,0,13
1,29,5,0,0.833333333333333,182,0,15
1,30,8,0,1.33333333333333,190,0,18
1,31,2,3,0.333333333333333,196,0,15
1,32,6,0,1,202,0,16
1,33,4,0,0.666666666666667,206,0,12
1,34,3,0,0.5,209,0,13
1,35,4,0,0.666666666666667,213,0,11
1,36,3,0,0.5,216,0,10
1,37,6,0,1,222,0,13
1,38,2,0,0.333333333333333,224,0,11
1,39,7,0,1.16666666666667,231,0,15
1,40,8,0,1.33333333333333,239,0,17
1,41,7,0,1.16666666666667,246,0,22
1,42,5,0,0.833333333333333,251,0,20
1,43,13,0,2.16666666666667,265,0,25
1,44,8,0,1.33333333333333,273,0,26
1,45,4,0,0.666666666666667,277,0,25
1,46,17,0,2.83333333333333,295,0,29
1,47,9,4,1.5,304,0,30
1,48,5,5,0.833333333333333,309,0,31
1,49,8,3,1.33333333333333,317,0,22
2,0,3,8,0.5,3,5.92,NA
2,1,2,0,0.333333333333333,7,5.95918367346939,NA
2,2,12,0,2,19,5.83333333333333,17
2,3,6,0,1,25,5.82978723404255,20
2,4,1,0,0.166666666666667,26,5.93478260869565,19
2,5,2,0,0.333333333333333,28,6.02222222222222,9
2,6,9,0,1.5,37,5.95454545454545,12
2,7,6,0,1,43,5.95348837209302,17
2,8,3,9,0.5,46,6.02380952380952,18
2,9,1,10,0.166666666666667,47,6.14634146341463,10
2,10,8,1,1.33333333333333,56,6.075,12
2,11,4,0,0.666666666666667,60,6.12820512820513,13
2,12,0,0,0,61,6.26315789473684,12
2,13,1,0,0.166666666666667,62,6.40540540540541,5
2,14,11,0,1.83333333333333,73,6.27777777777778,12
2,15,2,0,0.333333333333333,75,6.4,14
2,16,7,0,1.16666666666667,82,6.38235294117647,20
2,17,1,0,0.166666666666667,83,6.54545454545455,10
2,18,1,0,0.166666666666667,84,6.71875,9
2,19,7,0,1.16666666666667,92,6.67741935483871,9
2,20,3,0,0.5,95,6.8,11
2,21,9,0,1.5,104,6.72413793103448,19
2,22,5,0,0.833333333333333,109,6.78571428571429,17
2,23,3,0,0.5,112,6.92592592592593,17
2,24,4,0,0.666666666666667,116,7.03846153846154,12
2,25,3,0,0.5,120,7.16,10
2,26,7,0,1.16666666666667,127,7.16666666666667,14
2,27,10,0,1.66666666666667,137,7.04347826086957,20
2,28,5,0,0.833333333333333,142,7.13636363636364,22
2,29,6,0,1,148,7.19047619047619,21
2,30,1,2,0.166666666666667,152,7.35,12
2,31,3,0,0.5,157,7.47368421052632,10
2,32,10,0,1.66666666666667,171,7.11111111111111,14
2,33,4,0,0.666666666666667,175,7.29411764705882,17
2,34,11,0,1.83333333333333,186,7.0625,25
2,35,6,0,1,192,7.13333333333333,21
2,36,6,0,1,198,7.21428571428571,23
2,37,12,0,2,210,6.84615384615385,24
2,38,6,0,1,216,6.91666666666667,24
2,39,3,3,0.5,219,7.27272727272727,21
2,40,9,0,1.5,229,7,18
2,41,8,0,1.33333333333333,237,6.88888888888889,20
2,42,9,0,1.5,246,6.625,26
2,43,6,0,1,252,6.71428571428571,23
2,44,5,4,0.833333333333333,258,6.83333333333333,20
2,45,13,0,2.16666666666667,276,4.6,24
2,46,8,0,1.33333333333333,284,3.75,26
2,47,5,1,0.833333333333333,290,3,26
2,48,5,0,0.833333333333333,299,0,18
2,49,0,7,0,299,0,10
