"innings","over","runs_in_over","wickets_in_over","run_rate","score","required_run_rate","runs_in_previous_3_overs"
1,0,2,0,0.333333333333333,3,0,NA
1,1,1,0,0.166666666666667,4,0,NA
1,2,4,0,0.666666666666667,8,0,7
1,3,3,0,0.5,11,0,8
1,4,4,0,0.666666666666667,15,0,11
1,5,1,1,0.166666666666667,16,0,8
1,6,2,0,0.333333333333333,18,0,7
1,7,1,2,0.166666666666667,19,0,4
1,8,4,0,0.666666666666667,23,0,7
1,9,2,0,0.333333333333333,25,0,7
1,10,10,0,1.66666666666667,35,0,16
1,11,3,0,0.5,39,0,15
1,12,4,0,0.666666666666667,43,0,17
1,13,3,0,0.5,46,0,10
1,14,4,3,0.666666666666667,50,0,11
1,15,8,0,1.33333333333333,58,0,15
1,16,13,0,2.16666666666667,71,0,25
1,17,9,0,1.5,80,0,30
1,18,6,0,1,86,0,28
1,19,14,0,2.33333333333333,100,0,29
1,20,5,0,0.833333333333333,105,0,25
1,21,12,0,2,117,0,31
1,22,5,4,0.833333333333333,122,0,22
1,23,11,0,1.83333333333333,134,0,28
1,24,6,0,1,140,0,22
1,25,14,0,2.33333333333333,154,0,31
1,26,7,5,1.16666666666667,161,0,27
1,27,8,0,1.33333333333333,170,0,29
1,28,6,0,1,176,0,21
1,29,11,0,1.83333333333333,187,0,25
1,30,8,0,1.33333333333333,197,0,25
1,31,17,0,2.83333333333333,216,0,36
2,0,3,0,0.5,4,2.94,NA
2,1,3,6,0.5,9,2.89795918367347,NA
2,2,2,0,0.333333333333333,12,2.89583333333333,8
2,3,2,7,0.333333333333333,15,2.8936170212766,7
2,4,3,0,0.5,18,2.89130434782609,7
2,5,4,0,0.666666666666667,22,2.86666666666667,9
2,6,10,0,1.66666666666667,32,2.70454545454545,17
2,7,6,0,1,38,2.62790697674419,20
2,8,8,0,1.33333333333333,46,2.5,24
2,9,8,0,1.33333333333333,54,2.36585365853659,22
2,10,8,0,1.33333333333333,62,2.225,24
2,11,5,7,0.833333333333333,67,2.15384615384615,21
2,12,2,0,0.333333333333333,69,2.15789473684211,15
2,13,6,0,1,76,2.02702702702703,13
2,14,3,10,0.5,79,2,11
2,15,5,0,0.833333333333333,84,1.91428571428571,14
2,16,3,0,0.5,87,1.88235294117647,11
2,17,6,0,1,93,1.75757575757576,14
2,18,5,0,0.833333333333333,98,1.65625,14
2,19,7,0,1.16666666666667,105,1.48387096774194,18
2,20,3,0,0.5,108,1.43333333333333,15
2,21,3,0,0.5,112,1.3448275862069,13
2,22,6,1,1,118,1.17857142857143,12
2,23,6,5,1,124,1,15
2,24,4,0,0.666666666666667,128,0.884615384615385,16
2,25,1,4,0.166666666666667,129,0.88,11
2,26,7,0,1.16666666666667,136,0.625,12
2,27,7,0,1.16666666666667,143,0.347826086956522,15
2,28,8,0,1.33333333333333,151,0,22
2,29,0,5,0,151,0,15
