"innings","over","runs_in_over","wickets_in_over","run_rate","score","required_run_rate","runs_in_previous_3_overs"
1,0,3,1,0.5,4,0,NA
1,1,2,0,0.333333333333333,6,0,NA
1,2,9,0,1.5,16,0,14
1,3,10,0,1.66666666666667,26,0,21
1,4,2,0,0.333333333333333,29,0,21
1,5,1,0,0.166666666666667,30,0,13
1,6,1,0,0.166666666666667,32,0,4
1,7,3,2,0.5,36,0,5
1,8,5,0,0.833333333333333,41,0,9
1,9,3,0,0.5,45,0,11
1,10,7,0,1.16666666666667,53,0,15
1,11,3,0,0.5,56,0,13
1,12,3,3,0.5,59,0,13
1,13,3,0,0.5,62,0,9
1,14,0,0,0,62,0,6
1,15,2,0,0.333333333333333,64,0,5
1,16,7,0,1.16666666666667,72,0,9
1,17,5,0,0.833333333333333,77,0,14
1,18,6,0,1,84,0,18
1,19,5,0,0.833333333333333,89,0,16
1,20,7,0,1.16666666666667,96,0,18
1,21,8,0,1.33333333333333,104,0,20
1,22,9,0,1.5,113,0,24
1,23,3,0,0.5,117,0,20
1,24,4,0,0.666666666666667,121,0,16
1,25,2,0,0.333333333333333,123,0,9
1,26,5,0,0.833333333333333,128,0,11
1,27,11,0,1.83333333333333,139,0,18
1,28,9,0,1.5,148,0,25
1,29,5,0,0.833333333333333,153,0,25
1,30,4,0,0.666666666666667,159,0,18
1,31,7,0,1.16666666666667,166,0,16
1,32,11,0,1.83333333333333,177,0,22
1,33,2,0,0.333333333333333,180,0,20
1,34,5,4,0.833333333333333,185,0,18
1,35,5,0,0.833333333333333,190,0,12
1,36,2,0,0.333333333333333,192,0,12
1,37,3,0,0.5,195,0,10
1,38,4,0,0.666666666666667,199,0,9
1,39,7,0,1.16666666666667,206,0,14
1,40,5,0,0.833333333333333,211,0,16
1,41,5,0,0.833333333333333,219,0,17
1,42,7,0,1.16666666666667,227,0,17
1,43,10,0,1.66666666666667,237,0,22
1,44,0,1,0,237,0,17
1,45,6,0,1,243,0,16
1,46,9,0,1.5,252,0,15
1,47,4,0,0.666666666666667,257,0,19
1,48,4,5,0.666666666666667,262,0,17
1,49,4,0,0.666666666666667,267,0,12
2,0,4,0,0.666666666666667,5,5.28,NA
2,1,11,0,1.83333333333333,18,5.12244897959184,NA
2,2,2,0,0.333333333333333,20,5.1875,17
2,3,8,0,1.33333333333333,29,5.1063829787234,21
2,4,3,0,0.5,32,5.15217391304348,13
2,5,2,0,0.333333333333333,34,5.22222222222222,13
2,6,4,0,0.666666666666667,38,5.25,9
2,7,11,0,1.83333333333333,49,5.11627906976744,17
2,8,2,0,0.333333333333333,51,5.19047619047619,17
2,9,5,9,0.833333333333333,56,5.19512195121951,18
2,10,1,0,0.166666666666667,57,5.3,8
2,11,0,0,0,57,5.43589743589744,6
2,12,5,0,0.833333333333333,62,5.44736842105263,6
2,13,10,0,1.66666666666667,72,5.32432432432432,15
2,14,6,0,1,78,5.30555555555556,21
2,15,7,0,1.16666666666667,85,5.25714285714286,23
2,16,3,0,0.5,88,5.32352941176471,16
2,17,10,0,1.66666666666667,98,5.18181818181818,20
2,18,2,0,0.333333333333333,100,5.28125,15
2,19,2,0,0.333333333333333,102,5.38709677419355,14
2,20,3,0,0.5,105,5.46666666666667,7
2,21,7,0,1.16666666666667,112,5.41379310344828,12
2,22,3,10,0.5,115,5.5,13
2,23,3,0,0.5,118,5.59259259259259,13
2,24,6,0,1,124,5.57692307692308,12
2,25,3,0,0.5,127,5.68,12
2,26,7,0,1.16666666666667,134,5.625,16
2,27,4,0,0.666666666666667,139,5.65217391304348,14
2,28,5,0,0.833333333333333,145,5.63636363636364,16
2,29,10,0,1.66666666666667,155,5.42857142857143,19
2,30,5,0,0.833333333333333,160,5.45,20
2,31,9,0,1.5,170,5.21052631578947,24
2,32,7,0,1.16666666666667,177,5.11111111111111,21
2,33,13,0,2.16666666666667,191,4.58823529411765,29
2,34,5,0,0.833333333333333,196,4.5625,25
2,35,4,0,0.666666666666667,200,4.6,22
2,36,5,0,0.833333333333333,206,4.5,14
2,37,2,0,0.333333333333333,208,4.69230769230769,11
2,38,7,0,1.16666666666667,215,4.5,14
2,39,3,1,0.5,218,4.63636363636364,12
2,40,3,2,0.5,223,4.6,13
2,41,3,0,0.5,226,4.77777777777778,9
2,42,2,0,0.333333333333333,229,5,8
2,43,12,3,2,241,4,17
2,44,1,0,0.166666666666667,242,4.5,15
2,45,6,0,1,248,4.2,19
2,46,0,4,0,248,5.25,7
2,47,4,0,0.666666666666667,253,5.33333333333333,10
2,48,15,0,2.5,269,0,19
