"innings","over","runs_in_over","wickets_in_over","run_rate","score","required_run_rate","runs_in_previous_3_overs"
1,0,3,0,0.5,3,0,NA
1,1,5,0,0.833333333333333,9,0,NA
1,2,1,0,0.166666666666667,10,0,9
1,3,5,0,0.833333333333333,15,0,11
1,4,1,1,0.166666666666667,16,0,7
1,5,1,0,0.166666666666667,17,0,7
1,6,3,0,0.5,22,0,5
1,7,6,0,1,28,0,10
1,8,7,0,1.16666666666667,35,0,16
1,9,8,0,1.33333333333333,43,0,21
1,10,3,0,0.5,46,0,18
1,11,5,0,0.833333333333333,51,0,16
1,12,5,0,0.833333333333333,56,0,13
1,13,2,0,0.333333333333333,58,0,12
1,14,3,0,0.5,62,0,10
1,15,5,0,0.833333333333333,67,0,10
1,16,4,0,0.666666666666667,71,0,12
1,17,5,0,0.833333333333333,77,0,14
1,18,3,0,0.5,80,0,12
1,19,5,0,0.833333333333333,85,0,13
1,20,9,0,1.5,94,0,17
1,21,8,0,1.33333333333333,102,0,22
1,22,9,0,1.5,111,0,26
1,23,3,0,0.5,114,0,20
1,24,5,0,0.833333333333333,119,0,17
1,25,8,0,1.33333333333333,127,0,16
1,26,7,2,1.16666666666667,134,0,20
1,27,4,0,0.666666666666667,139,0,19
1,28,3,0,0.5,142,0,14
1,29,5,0,0.833333333333333,147,0,12
1,30,7,0,1.16666666666667,154,0,15
1,31,4,0,0.666666666666667,158,0,16
1,32,6,0,1,164,0,17
1,33,7,0,1.16666666666667,171,0,17
1,34,1,0,0.166666666666667,172,0,14
1,35,12,0,2,184,0,20
1,36,5,0,0.833333333333333,189,0,18
1,37,4,0,0.666666666666667,193,0,21
1,38,3,0,0.5,196,0,12
1,39,10,0,1.66666666666667,207,0,17
1,40,8,0,1.33333333333333,215,0,21
1,41,5,0,0.833333333333333,220,0,23
1,42,8,0,1.33333333333333,230,0,21
1,43,10,0,1.66666666666667,241,0,23
1,44,8,3,1.33333333333333,249,0,26
1,45,14,0,2.33333333333333,265,0,32
1,46,3,4,0.5,268,0,25
1,47,9,5,1.5,277,0,26
1,48,12,6,2,289,0,24
1,49,4,0,0.666666666666667,295,0,25
2,0,4,0,0.666666666666667,4,5.84,NA
2,1,6,0,1,11,5.81632653061224,NA
2,2,8,0,1.33333333333333,19,5.77083333333333,18
2,3,7,0,1.16666666666667,26,5.74468085106383,21
2,4,4,0,0.666666666666667,31,5.76086956521739,19
2,5,11,0,1.83333333333333,42,5.64444444444444,22
2,6,6,0,1,48,5.63636363636364,21
2,7,3,7,0.5,52,5.67441860465116,20
2,8,8,0,1.33333333333333,60,5.61904761904762,17
2,9,4,0,0.666666666666667,65,5.63414634146341,15
2,10,4,0,0.666666666666667,69,5.675,16
2,11,9,0,1.5,78,5.58974358974359,17
2,12,5,0,0.833333333333333,83,5.60526315789474,18
2,13,7,0,1.16666666666667,90,5.56756756756757,21
2,14,5,0,0.833333333333333,95,5.58333333333333,17
2,15,5,0,0.833333333333333,100,5.6,17
2,16,3,0,0.5,103,5.67647058823529,13
2,17,5,0,0.833333333333333,108,5.6969696969697,13
2,18,5,8,0.833333333333333,113,5.71875,13
2,19,5,0,0.833333333333333,118,5.74193548387097,15
2,20,6,0,1,124,5.73333333333333,16
2,21,7,0,1.16666666666667,131,5.68965517241379,18
2,22,2,0,0.333333333333333,133,5.82142857142857,15
2,23,9,0,1.5,142,5.7037037037037,18
2,24,3,0,0.5,145,5.80769230769231,14
2,25,5,0,0.833333333333333,150,5.84,17
2,26,1,9,0.166666666666667,151,6.04166666666667,9
2,27,3,0,0.5,154,6.17391304347826,9
2,28,7,0,1.16666666666667,162,6.09090909090909,11
2,29,5,10,0.833333333333333,167,6.14285714285714,15
2,30,11,0,1.83333333333333,178,5.9,23
2,31,6,0,1,185,5.84210526315789,22
2,32,9,0,1.5,194,5.66666666666667,26
2,33,5,0,0.833333333333333,199,5.70588235294118,20
2,34,3,0,0.5,202,5.875,17
2,35,4,1,0.666666666666667,206,6,12
2,36,4,0,0.666666666666667,210,6.14285714285714,11
2,37,5,0,0.833333333333333,215,6.23076923076923,13
2,38,3,2,0.5,218,6.5,12
2,39,12,0,2,231,5.90909090909091,20
2,40,1,0,0.166666666666667,232,6.4,16
2,41,5,0,0.833333333333333,237,6.55555555555556,18
2,42,14,0,2.33333333333333,252,5.5,20
2,43,5,0,0.833333333333333,257,5.57142857142857,24
2,44,4,0,0.666666666666667,261,5.83333333333333,23
2,45,10,0,1.66666666666667,271,5,19
2,46,9,0,1.5,280,4,23
2,47,4,0,0.666666666666667,285,3.66666666666667,23
2,48,11,3,1.83333333333333,296,0,24
