"innings","over","runs_in_over","wickets_in_over","run_rate","score","required_run_rate","runs_in_previous_3_overs"
1,0,4,0,0.666666666666667,4,0,NA
1,1,0,0,0,4,0,NA
1,2,6,0,1,10,0,10
1,3,7,0,1.16666666666667,18,0,13
1,4,9,0,1.5,27,0,22
1,5,2,0,0.333333333333333,29,0,18
1,6,11,0,1.83333333333333,41,0,22
1,7,9,0,1.5,50,0,22
1,8,1,0,0.166666666666667,52,0,21
1,9,7,0,1.16666666666667,59,0,17
1,10,12,0,2,71,0,20
1,11,5,0,0.833333333333333,77,0,24
1,12,4,0,0.666666666666667,81,0,21
1,13,12,0,2,93,0,21
1,14,2,0,0.333333333333333,95,0,18
1,15,6,0,1,101,0,20
1,16,8,0,1.33333333333333,109,0,16
1,17,4,0,0.666666666666667,113,0,18
1,18,2,0,0.333333333333333,115,0,14
1,19,2,0,0.333333333333333,117,0,8
1,20,13,0,2.16666666666667,130,0,17
1,21,6,0,1,136,0,21
1,22,6,1,1,142,0,25
1,23,3,0,0.5,145,0,15
1,24,8,0,1.33333333333333,153,0,17
1,25,4,2,0.666666666666667,157,0,15
1,26,7,0,1.16666666666667,164,0,19
1,27,4,0,0.666666666666667,168,0,15
1,28,5,0,0.833333333333333,173,0,16
1,29,14,0,2.33333333333333,187,0,23
1,30,10,0,1.66666666666667,197,0,29
1,31,6,0,1,203,0,30
1,32,6,0,1,209,0,22
1,33,10,0,1.66666666666667,220,0,22
1,34,10,0,1.66666666666667,230,0,26
1,35,5,0,0.833333333333333,235,0,25
1,36,11,0,1.83333333333333,246,0,26
1,37,4,0,0.666666666666667,250,0,20
1,38,11,0,1.83333333333333,262,0,26
1,39,13,0,2.16666666666667,275,0,28
1,40,13,0,2.16666666666667,288,0,37
1,41,8,3,1.33333333333333,296,0,34
1,42,11,0,1.83333333333333,307,0,32
1,43,7,0,1.16666666666667,314,0,26
1,44,12,0,2,326,0,30
1,45,13,0,2.16666666666667,339,0,32
1,46,11,0,1.83333333333333,351,0,36
1,47,13,0,2.16666666666667,364,0,37
1,48,10,4,1.66666666666667,374,0,34
1,49,15,0,2.5,389,0,38
2,0,8,0,1.33333333333333,8,6.6,NA
2,1,4,0,0.666666666666667,12,6.6530612244898,NA
2,2,5,0,0.833333333333333,17,6.6875,17
2,3,4,0,0.666666666666667,21,6.74468085106383,13
2,4,16,0,2.66666666666667,37,6.54347826086957,25
2,5,9,0,1.5,47,6.46666666666667,29
2,6,8,0,1.33333333333333,56,6.40909090909091,33
2,7,2,5,0.333333333333333,58,6.51162790697674,19
2,8,3,6,0.5,61,6.59523809523809,13
2,9,6,0,1,67,6.60975609756098,11
2,10,3,0,0.5,70,6.7,12
2,11,7,0,1.16666666666667,77,6.69230769230769,16
2,12,7,0,1.16666666666667,84,6.68421052631579,17
2,13,5,0,0.833333333333333,89,6.72972972972973,19
2,14,9,0,1.5,98,6.66666666666667,21
2,15,3,0,0.5,101,6.77142857142857,17
2,16,6,0,1,108,6.76470588235294,18
2,17,4,0,0.666666666666667,112,6.84848484848485,13
2,18,4,0,0.666666666666667,116,6.9375,14
2,19,10,0,1.66666666666667,126,6.83870967741935,18
2,20,5,0,0.833333333333333,131,6.9,19
2,21,9,0,1.5,140,6.82758620689655,24
2,22,12,0,2,153,6.60714285714286,26
2,23,3,7,0.5,156,6.74074074074074,24
2,24,4,0,0.666666666666667,160,6.84615384615385,19
2,25,3,0,0.5,163,7,10
2,26,13,0,2.16666666666667,176,6.75,20
2,27,6,0,1,182,6.78260869565217,22
2,28,3,0,0.5,185,6.95454545454545,22
2,29,1,0,0.166666666666667,186,7.23809523809524,10
2,30,7,0,1.16666666666667,193,7.25,11
2,31,10,0,1.66666666666667,203,7.10526315789474,18
2,32,11,0,1.83333333333333,214,6.88888888888889,28
2,33,7,0,1.16666666666667,221,6.88235294117647,28
2,34,4,8,0.666666666666667,225,7.0625,22
2,35,4,0,0.666666666666667,229,7.26666666666667,15
2,36,8,0,1.33333333333333,237,7.21428571428571,16
2,37,7,0,1.16666666666667,244,7.23076923076923,19
2,38,10,0,1.66666666666667,254,7,25
2,39,5,0,0.833333333333333,259,7.18181818181818,22
2,40,0,0,0,260,7.8,15
2,41,10,0,1.66666666666667,270,7.55555555555556,15
2,42,9,0,1.5,279,7.375,19
2,43,12,9,2,291,6.71428571428571,31
2,44,10,0,1.66666666666667,303,5.83333333333333,31
2,45,17,0,2.83333333333333,321,3.4,39
2,46,2,1,0.333333333333333,325,3.25,29
2,47,2,2,0.333333333333333,327,3.66666666666667,21
2,48,2,3,0.333333333333333,329,4.5,6
2,49,9,0,1.5,338,0,13
