"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"B Lee","RV Uthappa",0.1,0,TRUE,1,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",0.1,0,FALSE,1,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",0.2,0,FALSE,1,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",0.3,0,FALSE,1,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",0.4,0,FALSE,1,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",0.5,2,FALSE,3,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",0.6,0,FALSE,3,0,"India",1,"bat","India","  runs","India","Right","Fast"
"NW Bracken","SR Tendulkar",1.1,1,FALSE,4,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",1.2,0,FALSE,4,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",1.3,2,FALSE,6,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",1.4,1,FALSE,7,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",1.5,1,FALSE,8,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",1.6,0,FALSE,8,0,"India",1,"bat","India","  runs","India","Right","Spin"
"B Lee","SR Tendulkar",2.1,0,FALSE,8,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",2.2,0,FALSE,8,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",2.3,0,FALSE,8,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",2.4,0,FALSE,8,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",2.5,0,FALSE,8,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",2.6,3,FALSE,11,0,"India",1,"bat","India","  runs","India","Right","Fast"
"NW Bracken","SR Tendulkar",3.1,0,FALSE,11,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",3.2,2,FALSE,13,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",3.3,0,FALSE,13,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",3.4,0,FALSE,13,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",3.5,0,FALSE,13,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",3.6,0,FALSE,13,0,"India",1,"bat","India","  runs","India","Right","Spin"
"B Lee","RV Uthappa",4.1,0,FALSE,13,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",4.2,1,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",4.3,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",4.4,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",4.5,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",4.6,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Fast"
"NW Bracken","RV Uthappa",5.1,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",5.2,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",5.3,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",5.4,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",5.5,0,FALSE,14,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",5.6,1,FALSE,15,0,"India",1,"bat","India","  runs","India","Right","Spin"
"B Lee","RV Uthappa",6.1,2,FALSE,17,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",6.2,4,FALSE,21,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",6.3,2,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",6.4,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",6.5,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",6.6,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Fast"
"NW Bracken","SR Tendulkar",7.1,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",7.2,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",7.3,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",7.4,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",7.5,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",7.6,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Spin"
"B Lee","RV Uthappa",8.1,0,FALSE,23,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",8.2,2,FALSE,25,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",8.3,1,FALSE,26,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",8.4,4,FALSE,30,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","SR Tendulkar",8.5,1,FALSE,31,0,"India",1,"bat","India","  runs","India","Right","Fast"
"B Lee","RV Uthappa",8.6,1,FALSE,32,0,"India",1,"bat","India","  runs","India","Right","Fast"
"NW Bracken","RV Uthappa",9.1,0,FALSE,32,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","RV Uthappa",9.2,1,FALSE,33,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",9.3,0,FALSE,33,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",9.4,2,FALSE,35,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",9.5,0,FALSE,35,0,"India",1,"bat","India","  runs","India","Right","Spin"
"NW Bracken","SR Tendulkar",9.6,1,FALSE,36,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",10.1,1,FALSE,37,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","RV Uthappa",10.2,0,FALSE,37,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","RV Uthappa",10.3,1,FALSE,38,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",10.4,0,FALSE,38,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",10.5,1,FALSE,39,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","RV Uthappa",10.6,1,FALSE,40,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","RV Uthappa",11.1,0,TRUE,41,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","RV Uthappa",11.1,0,TRUE,42,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","RV Uthappa",11.1,1,FALSE,43,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",11.2,0,FALSE,43,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",11.3,0,TRUE,44,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",11.3,0,FALSE,44,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",11.4,0,FALSE,44,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",11.5,1,FALSE,45,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","RV Uthappa",11.6,0,FALSE,45,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",12.1,4,FALSE,49,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",12.2,0,FALSE,49,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",12.3,2,FALSE,51,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",12.4,0,FALSE,51,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",12.5,4,FALSE,55,0,"India",1,"bat","India","  runs","India","Right","Spin"
"SR Clark","SR Tendulkar",12.6,1,FALSE,56,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",13.1,4,FALSE,60,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",13.2,0,TRUE,61,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",13.2,0,FALSE,61,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",13.3,0,FALSE,61,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",13.4,0,FALSE,61,0,"India",1,"bat","India","  runs","India","Right","Spin"
"MG Johnson","SR Tendulkar",13.5,1,FALSE,62,0,"India",1,"bat","India","  runs","India","Right","Spin"
