"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"B Kumar","AJ Finch",0.1,1,FALSE,1,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",0.2,0,FALSE,1,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",0.3,0,FALSE,1,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",0.4,0,FALSE,1,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",0.5,4,FALSE,5,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",0.6,1,FALSE,6,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",1.1,1,FALSE,7,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",1.2,0,TRUE,9,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",1.2,1,FALSE,10,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",1.3,1,FALSE,11,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",1.4,0,FALSE,11,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",1.5,0,FALSE,11,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",1.6,0,FALSE,11,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",2.1,4,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",2.2,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",2.3,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",2.4,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",2.5,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",2.6,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",3.1,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",3.2,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",3.3,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",3.4,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",3.5,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",3.6,0,FALSE,15,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",4.1,4,FALSE,19,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",4.2,0,FALSE,19,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",4.3,0,FALSE,19,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",4.4,0,FALSE,19,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",4.5,4,FALSE,23,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",4.6,0,FALSE,23,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",5.1,0,FALSE,23,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",5.2,1,FALSE,24,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",5.3,1,FALSE,25,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",5.4,0,FALSE,25,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",5.5,2,FALSE,27,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","PJ Hughes",5.6,0,FALSE,27,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",6.1,0,FALSE,27,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",6.2,1,FALSE,28,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",6.3,0,FALSE,28,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",6.4,0,FALSE,28,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",6.5,0,FALSE,28,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",6.6,0,FALSE,28,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",7.1,0,FALSE,28,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",7.2,0,FALSE,28,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",7.3,0,FALSE,28,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",7.4,4,FALSE,32,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",7.5,0,FALSE,32,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"I Sharma","AJ Finch",7.6,1,FALSE,33,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",8.1,0,FALSE,33,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",8.2,1,FALSE,34,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","PJ Hughes",8.3,1,FALSE,35,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
"B Kumar","AJ Finch",8.4,0,FALSE,35,0,"Australia",1,"bat","India","9  wickets","India","Right","Spin"
