"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"Z Khan","MS Wade",0.1,0,TRUE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",0.1,0,FALSE,1,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",0.2,2,FALSE,3,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",0.3,2,FALSE,5,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",0.4,0,FALSE,5,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",0.5,0,FALSE,5,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",0.6,0,FALSE,5,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","DA Warner",1.1,0,FALSE,5,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",1.2,0,FALSE,5,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",1.3,0,FALSE,5,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",1.4,1,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","MS Wade",1.5,0,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","MS Wade",1.6,1,FALSE,7,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",2.1,0,TRUE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",2.1,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",2.2,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",2.3,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",2.4,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",2.5,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"Z Khan","MS Wade",2.6,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Right","Fast"
"R Vinay Kumar","DA Warner",3.1,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",3.2,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",3.3,0,FALSE,8,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",3.4,2,FALSE,10,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",3.5,0,FALSE,10,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"R Vinay Kumar","DA Warner",3.6,1,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
"Z Khan","DA Warner",4.1,1,FALSE,12,0,"Australia",1,"bat","Australia","  runs","Australia","Left","Fast"
