"player","runs","out","balls","country","strike_rate","batting_average","sixes","fours"
"JP Behrendorff",1,0,1,"Australia",100,0,0,0
"B Stanlake",0,1,2,"Australia",0,0,0,0
"AJ Turner",142,4,109,"Australia",130.275229357798,35.5,8,8
"V Shankar",120,3,101,"India",118.811881188119,40,4,10
"RR Pant",80,3,73,"India",109.58904109589,26.6666666666667,3,7
"SN Thakur",13,1,10,"India",130,13,0,2
"SS Iyer",274,10,265,"India",103.396226415094,27.4,6,27
"M Labuschagne",445,11,538,"Australia",82.7137546468402,40.4545454545455,1,38
"JR Hazlewood",32,1,25,"Australia",128,32,2,2
"Navdeep Saini",39,0,44,"India",88.6363636363636,0,1,2
"MA Agarwal",50,2,44,"India",113.636363636364,25,1,6
"C Green",100,5,141,"Australia",70.9219858156028,20,2,6
"Shubman Gill",272,7,288,"India",94.4444444444444,38.8571428571429,8,23
"SA Abbott",86,5,76,"Australia",113.157894736842,17.2,6,6
"JP Inglis",77,3,81,"Australia",95.0617283950617,25.6666666666667,3,5
"SA Yadav",148,6,124,"India",119.354838709677,24.6666666666667,7,13
"Ishan Kishan",52,4,53,"India",98.1132075471698,13,2,4
"Mohammed Siraj",13,3,24,"India",54.1666666666667,4.33333333333333,0,1
"MW Short",11,2,12,"Australia",91.6666666666667,5.5,0,2
"RD Gaikwad",79,2,88,"India",89.7727272727273,39.5,0,12
"Washington Sundar",18,1,30,"India",60,18,1,1
"M Prasidh Krishna",0,0,3,"India",0,0,0,0
